token_id,extracted_attributes
8760,"{""Fur"": ""White Noise"", ""Clothes"": ""Trippy Tee"", ""Mouth"": ""Kiss"", ""Eyes"": ""Angry"", ""Head"": ""Ski Glasses""}"
1858,"{""Fur"": ""White Noise"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Regular"", ""Eyes"": ""Wide"", ""Head"": ""Chopsticks Bun""}"
3509,"{""Fur"": ""Pink"", ""Clothes"": ""RKL Tee"", ""Mouth"": ""Ooh"", ""Eyes"": ""Sad""}"
5857,"{""Fur"": ""Pink"", ""Mouth"": ""Ooh"", ""Eyes"": ""Closed Scar"", ""Head Accessory"": ""Exotic Earring""}"
5353,"{""Fur"": ""Brown"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Regular"", ""Eyes"": ""Bloodshot"", ""Head Accessory"": ""Red Shades"", ""Head"": ""Purple Bandana""}"
1359,"{""Fur"": ""Green"", ""Clothes"": ""Dego Tee Blooded"", ""Mouth"": ""Regular"", ""Eyes"": ""Regular"", ""Head"": ""King Band""}"
3009,"{""Fur"": ""Brown"", ""Clothes"": ""Biker Jacket"", ""Mouth"": ""Ooh"", ""Eyes"": ""Angry Wink""}"
3995,"{""Fur"": ""Black"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Scar"", ""Head Accessory"": ""Blue Shades"", ""Head"": ""Beanie""}"
2974,"{""Fur"": ""Pink"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Tongue Out"", ""Eyes"": ""Wide Scar""}"
9177,"{""Fur"": ""Green"", ""Clothes"": ""Cheetah Dego Tee"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Wide""}"
7760,"{""Fur"": ""Pink"", ""Clothes"": ""Cyan Jersey"", ""Mouth"": ""Kiss"", ""Eyes"": ""Wide"", ""Head Accessory"": ""Gold Stud""}"
8306,"{""Fur"": ""Red"", ""Mouth"": ""Gold Scream"", ""Eyes"": ""Angry Wink"", ""Head"": ""Beanie""}"
7990,"{""Fur"": ""Grey"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Closed"", ""Head"": ""Chopsticks Bun""}"
8964,"{""Fur"": ""Brown"", ""Clothes"": ""Dego Tee Blooded"", ""Mouth"": ""Gold Saber Toothed"", ""Eyes"": ""Closed""}"
859,"{""Fur"": ""Pink"", ""Clothes"": ""Shaolin Vest"", ""Mouth"": ""Scream"", ""Eyes"": ""Closed Scar"", ""Head"": ""Bowler""}"
136,"{""Fur"": ""Grey"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Regular"", ""Head"": ""Ski Glasses""}"
736,"{""Fur"": ""Sky Blue"", ""Clothes"": ""White Tee"", ""Mouth"": ""Regular"", ""Eyes"": ""Closed Scar"", ""Head Accessory"": ""Broken Glasses"", ""Head"": ""Green Beret""}"
4807,"{""Fur"": ""Pink"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Drool"", ""Eyes"": ""Wide""}"
1581,"{""Fur"": ""White Noise"", ""Clothes"": ""Cheetah Dego Tee"", ""Mouth"": ""Drool"", ""Eyes"": ""Wide"", ""Head Accessory"": ""Gold Stud"", ""Head"": ""Cap Forward""}"
